,productId,productName,priceSale,priceOriginal,imageLink,productLink,company,gender
58,908054,Pierre Cardin El Çantası,359.75 TL,449.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002528861_200_01.jpg,https://www.boyner.com.tr/pierre-cardin-el-cantasi-908054-1005,BOYNER,KadÄ±n
59,884862,Beymen Roxy Shopper Çanta,489.99 TL,999.99 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002455695_305_01.jpg,https://www.boyner.com.tr/beymen-shopper-canta-884862-1005,BOYNER,KadÄ±n
60,884851,Beymen Tora El Çantası,479.99 TL,999.99 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002455647_001_01.jpg,https://www.boyner.com.tr/beymen-el-cantasi-884851-1005,BOYNER,KadÄ±n
61,879885,Laura Ashley Siyah Sırt Çantası,113.99 TL,379.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456682_001_01.jpg,https://www.boyner.com.tr/laura-ashley-sirt-cantasi-879885-1005,BOYNER,KadÄ±n
62,879844,Laura Ashley Vizon El Çantası,130.49 TL,434.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456624_254_01.jpg,https://www.boyner.com.tr/laura-ashley-el-cantasi-879844-1005,BOYNER,KadÄ±n
63,874550,David Jones Portföy,83.99 TL,189.99 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002445402_211_03.jpg,https://www.boyner.com.tr/david-jones-portfoy-874550-1005,BOYNER,KadÄ±n
64,860762,19V69 Italia Portföy,136.47 TL,194.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002368340_001_01.jpg,https://www.boyner.com.tr/19v69-italia-portfoy-860762-1005,BOYNER,KadÄ±n
65,852712,Beymen Cüzdan,271.99 TL,584.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002382287_211_01.jpg,https://www.boyner.com.tr/beymen-cuzdan-852712-1005,BOYNER,KadÄ±n
66,840870,Beymen Siyah Shopper Çanta,543.99 TL,"1,059.95 TL",https://statics.boyner.com.tr/mnresize/325/451/productimages/5002382300_001_01.jpg,https://www.boyner.com.tr/beymen-shopper-canta-840870-1005,BOYNER,KadÄ±n
67,832450,David Jones El Çantası,195.97 TL,399.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002369546_001_02.jpg,https://www.boyner.com.tr/david-jones-el-cantasi-832450-1005,BOYNER,KadÄ±n
